protocolname	led	lightamplitude	lightamplitude_rstarr	lightmean	lightmean_rstarr	startdate	enddate
LedNoiseFamily	UV LED	0	0	0.045	5000	2023-11-01	2024-06-31
LedPairedSineWavePulse	UV LED	0	0	0.045	5000	2023-11-01	2024-06-31
LedPairedSquareWavePulse	UV LED	0	0	0.045	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.045	5000	0.045	5000	2023-11-01	2024-06-31
LedPairedSineWavePulse	UV LED	0	0	0.14	5000	2023-11-01	2024-06-31
LedPairedSquareWavePulse	UV LED	0	0	0.14	5000	2023-11-01	2024-06-31
LedPairedPulseFamily	UV LED	0	0	0.14	5000	2023-11-02	2024-06-32
LedNoiseFamily	UV LED	0	0	0.14	5000	2023-11-03	2024-06-33
ContrastSteps	UV LED	0	0	0.14	5000	2023-11-03	2024-06-33
LedPulse	UV LED	0.004	1000	0	0	2023-11-01	2024-06-31
LedPulse	UV LED	0	0	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.004	1000	0.004	1000	2023-11-01	2024-06-31
LedPulse	UV LED	0.02	5000	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.02	-5000	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.005	1250	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.005	-1250	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.01	2500	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.01	-2500	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.015	3750	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.015	-3750	0.02	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.022	5000	0.022	5000	2023-11-01	2024-06-31
LedPulseFamily	UV LED	0.14	5000	0.14	5000	2023-11-01	2024-06-31
LedPulseFamily	UV LED	-0.014	-5000	0.14	5000	2023-11-01	2024-06-31
LedPulseFamily	UV LED	0.07	2500	0.14	5000	2023-11-01	2024-06-31
LedPulseFamily	UV LED	-0.07	-2500	0.14	5000	2023-11-01	2024-06-31
LedPulseFamily	UV LED	0.035	1250	0.14	5000	2023-11-01	2024-06-31
LedPulseFamily	UV LED	-0.035	-1250	0.14	5000	2023-11-01	2024-06-31
SaccadeTrajectory2	UV LED	0	0	0.005	1000	2023-01-01	2024-06-31
LedPulse	UV LED	0.023	5000	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.023	-5000	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.006	1250	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.006	-1250	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.012	2500	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.012	-2500	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	0.017	3750	0.023	5000	2023-11-01	2024-06-31
LedPulse	UV LED	-0.017	-3750	0.023	5000	2023-11-01	2024-06-31
